numt, numnodes, tilesize, volume, mhs, time
64, 440, 4.66996e-05, 25.312541, 69.321111, 0.002793
64, 418, 5.17572e-05, 25.312545, 79.982202, 0.002185
64, 397, 5.73921e-05, 25.312550, 81.073546, 0.001944
64, 377, 6.366e-05, 25.312556, 77.209823, 0.001841
64, 359, 7.02225e-05, 25.312561, 74.887318, 0.001721
64, 341, 7.78547e-05, 25.312568, 69.820071, 0.001665
64, 324, 8.62656e-05, 25.312576, 63.097156, 0.001664
64, 307, 9.61169e-05, 25.312584, 60.583290, 0.001556
64, 292, 0.000106281, 25.312593, 50.651650, 0.001683
64, 277, 0.000118147, 25.312603, 52.369918, 0.001465
64, 263, 0.000131111, 25.312615, 47.322385, 0.001462
64, 250, 0.000145159, 25.312627, 41.344073, 0.001512
64, 238, 0.000160231, 25.312640, 26.640830, 0.002126
64, 226, 0.000177778, 25.312656, 35.903932, 0.001423
64, 214, 0.000198373, 25.312674, 28.389194, 0.001613
64, 204, 0.000218399, 25.312691, 25.047277, 0.001661
64, 194, 0.000241617, 25.312711, 27.039901, 0.001392
64, 184, 0.000268745, 25.312735, 25.828029, 0.001311
64, 175, 0.000297265, 25.312760, 23.789179, 0.001287
64, 166, 0.000330579, 25.312789, 21.134236, 0.001304
64, 158, 0.000365126, 25.312820, 20.594063, 0.001212
64, 150, 0.000405387, 25.312855, 17.589558, 0.001279
64, 142, 0.000452694, 25.312896, 15.063848, 0.001339
64, 135, 0.000501225, 25.312939, 8.713925, 0.002091
64, 128, 0.000558001, 25.312988, 12.704330, 0.001290
64, 122, 0.000614712, 25.313038, 7.193786, 0.002069
64, 116, 0.000680529, 25.313095, 6.976351, 0.001929
64, 110, 0.000757512, 25.313163, 10.259141, 0.001179
64, 104, 0.000848336, 25.313242, 8.860875, 0.001221
64, 99, 0.00093711, 25.313320, 7.874465, 0.001245
64, 94, 0.00104058, 25.313410, 7.508338, 0.001177
64, 89, 0.00116219, 25.313517, 5.941268, 0.001333
64, 85, 0.00127551, 25.313616, 5.425343, 0.001332
64, 81, 0.00140625, 25.313730, 5.323154, 0.001233
64, 77, 0.00155817, 25.313863, 3.356166, 0.001767
64, 73, 0.00173611, 25.314019, 4.553249, 0.001170
64, 69, 0.00194637, 25.314203, 3.727265, 0.001277
64, 66, 0.00213018, 25.314364, 3.405543, 0.001279
64, 62, 0.0024187, 25.314616, 2.539424, 0.001514
