NUM_C,A,RUNTIME_CHANGE
8192, 32768, 2.258172
8192, 65536, 4.777248
16384, 1, 0.000225
16384, 2, 0.000350
16384, 4, 0.000604
16384, 8, 0.001104
16384, 16, 0.002106
16384, 32, 0.004084
16384, 64, 0.008084
16384, 128, 0.016100
16384, 256, 0.032250
16384, 512, 0.064406
16384, 1024, 0.128326
16384, 2048, 0.256551
16384, 4096, 0.677176
16384, 8192, 1.217061
16384, 16384, 2.127596
16384, 32768, 4.363468
16384, 65536, 9.040077
32768, 1, 0.000440
32768, 2, 0.000692
32768, 4, 0.001190
32768, 8, 0.002189
32768, 16, 0.004194
32768, 32, 0.008229
32768, 64, 0.016262
32768, 128, 0.032171
32768, 256, 0.063901
32768, 512, 0.127677
32768, 1024, 0.256323
32768, 2048, 0.512138
32768, 4096, 1.026554
32768, 8192, 2.072762
32768, 16384, 4.184725
32768, 32768, 8.572001
32768, 65536, 17.469513
65536, 1, 0.001010
65536, 2, 0.001402
65536, 4, 0.002383
65536, 8, 0.004374
65536, 16, 0.008426
65536, 32, 0.024472
65536, 64, 0.032709
65536, 128, 0.064799
65536, 256, 0.128837
65536, 512, 0.256985
65536, 1024, 0.513814
65536, 2048, 1.030392
65536, 4096, 2.057203
65536, 8192, 4.135078
65536, 16384, 8.319661
65536, 32768, 16.744389
65536, 65536, 33.804142
